,word,counts,indicatesDisease
0,cm,10361,False
1,x,9982,False
2,lymph,9120,False
3,tumor,8469,True
4,nodes,5512,False
5,tissue,4971,False
6,margin,4196,False
7,node,4683,False
8,specimen,4772,False
9,submitted,3262,False
10,right,5222,False
11,left,4733,False
12,labeled,2666,False
13,carcinoma,3248,True
14,identified,2540,False
15,section,2275,False
16,measuring,1819,False
17,mass,1906,False
18,sections,2217,False
19,received,2641,False
20,soft,1489,False
21,surface,1326,False
22,consists,1260,False
23,frozen,1618,False
24,diagnosis,2692,False
25,fresh,1255,False
26,one,1880,False
27,b,1209,False
28,anterior,1395,False
29,lobe,1294,False
30,posterior,1319,False
31,invasion,2037,False
32,resection,1400,False
33,negative,2243,False
34,measures,1100,False
35,dimension,1125,False
36,patient,1169,False
37,formalin,1057,False
38,present,1521,False
39,e,933,False
40,inked,945,False
41,tan,862,False
42,grade,1687,False
43,entirely,976,False
44,portion,922,False
45,grossly,918,False
46,bisected,825,False
47,part,1429,False
48,greatest,1027,False
49,h,778,False
50,cells,869,False
51,name,780,False
52,representative,1274,False
53,cassette,1037,False
54,tube,837,False
55,two,1062,False
56,biopsy,1198,False
57,cell,902,True
58,renal,914,False
59,margins,1393,False
60,possible,687,False
61,level,1185,False
62,lower,845,False
63,diameter,691,False
64,positive,972,False
65,aggregate,617,False
66,fallopian,780,False
67,multiple,916,False
68,sectioned,609,False
69,ovary,803,False
70,description,1188,False
71,mm,661,False
72,wall,670,False
73,type,1244,False
74,adipose,615,False
75,parenchyma,580,False
76,firm,559,False
77,adenocarcinoma,1002,False
78,superior,642,False
79,gross,1259,False
80,nodule,607,False
81,fat,592,False
82,excision,1002,False
83,histologic,879,False
84,lesion,621,False
85,unremarkable,618,False
86,area,557,False
87,upper,732,False
88,clinical,1129,False
89,attached,548,False
90,within,631,False
91,lateral,599,False
92,kidney,716,False
93,breast,976,True
94,yellow,515,False
95,follows,513,False
96,segment,617,False
97,pelvic,828,False
98,performed,573,False
99,inferior,564,False
100,invasive,1034,True
101,fragments,520,False
102,fragment,507,False
103,cervix,679,False
104,areas,500,False
105,differentiated,618,False
106,black,514,False
107,length,490,False
108,distal,672,False
109,gland,573,False
110,block,927,False
111,cut,527,False
112,seen,613,False
113,metastatic,857,False
114,size,944,False
115,number,916,False
116,summary,681,False
117,prostate,761,False
118,ureter,549,False
119,lung,665,False
120,mucosa,479,False
121,duct,465,False
122,shows,467,False
123,c,429,False
124,single,482,False
125,container,571,False
126,smooth,404,False
127,report,1043,False
128,sp,389,False
129,thickness,430,False
130,cassettes,452,False
131,additional,862,False
132,blue,428,False
133,pathologic,819,False
134,uterine,444,False
135,involved,545,False
136,small,482,False
137,malignancy,594,False
138,necrosis,480,False
139,uninvolved,526,False
140,normal,441,False
141,ranging,357,False
142,serially,369,False
143,adjacent,398,False
144,examined,530,False
145,deep,482,False
146,capsule,411,False
147,findings,542,False
148,irregular,349,False
149,comment,775,False
150,show,356,False
151,proximal,479,False
152,surgical,958,False
153,white,356,False
154,quadrant,408,False
155,see,703,False
156,neck,487,False
157,base,395,False
158,date,526,False
159,skin,487,False
160,history,644,False
161,microscopic,757,False
162,appears,324,False
163,fibroadipose,383,False
164,bladder,504,False
165,three,519,False
166,liver,525,False
167,specified,320,False
168,focal,495,False
169,lesions,330,False
170,adrenal,449,False
171,toto,314,False
172,slice,375,False
173,free,520,False
174,approximately,377,False
175,designated,314,False
176,final,658,False
177,outer,355,False
178,determined,301,False
179,external,366,False
180,stage,645,False
181,reveals,310,False
182,site,636,False
183,extension,596,False
184,pathology,488,False
185,focally,347,False
186,cancer,477,True
187,pleura,321,False
188,nodules,298,False
189,tumour,360,False
190,benign,637,False
191,largest,357,False
192,reveal,280,False
193,uterus,542,False
194,evidence,438,False
195,none,343,False
196,papillary,542,True
197,also,354,False
198,medial,335,False
199,thyroid,437,False
200,pancreatic,373,False
201,examination,485,False
202,sentinel,524,False
203,located,293,False
204,total,666,False
205,results,422,False
206,contains,269,False
207,additionally,292,False
